"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"AM","Nova Olinda do Norte",37378,"cidade",-59.09404,-3.900367,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Novo Airão",19454,"cidade",-60.943404,-2.636371,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Novo Aripuanã",25644,"cidade",-60.373179,-5.125929,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Parintins",114273,"cidade",-56.729045,-2.637412,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Pauini",19426,"cidade",-66.992039,-7.713109,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Presidente Figueiredo",36279,"cidade",-60.02338,-2.029813,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Rio Preto da Eva",33347,"cidade",-59.685793,-2.704497,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Santa Isabel do Rio Negro",25156,"cidade",-65.009205,-0.410824,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Santo Antônio do Içá",21602,"cidade",-67.946279,-3.095443,NA,NA,NA,NA,NA,NA,NA,NA
"AM","São Gabriel da Cachoeira",45564,"cidade",-67.084042,-0.11909,NA,NA,NA,NA,NA,NA,NA,NA
"AM","São Paulo de Olivença",39299,"cidade",-68.964581,-3.472919,NA,NA,NA,NA,NA,NA,NA,NA
"AM","São Sebastião do Uatumã",14020,"cidade",-57.873049,-2.559147,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Silves",9171,"cidade",-58.248031,-2.81748,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Tabatinga",65844,"cidade",-69.938273,-4.241597,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Tapauá",17156,"cidade",-63.1808,-5.620855,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Tefé",59849,"cidade",-64.719343,-3.368219,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Tonantins",18755,"cidade",-67.791904,-2.865825,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Uarini",13540,"cidade",-65.113298,-2.996087,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Urucará",16256,"cidade",-57.753797,-2.529364,NA,NA,NA,NA,NA,NA,NA,NA
"AM","Urucurituba",23065,"cidade",-58.149637,-3.128412,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Amapá",9109,"cidade",-50.795653,2.052669,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Calçoene",11117,"cidade",-50.951233,2.504747,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Cutias",5983,"cidade",-50.799169,0.987565,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Ferreira Gomes",7780,"cidade",-51.179523,0.857256,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Itaubal",5503,"cidade",-50.670828,0.596137,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Laranjal do Jari",50410,"cidade",-52.452962,-0.804911,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Macapá",503327,"cidade",-51.069395,0.034934,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Mazagão",21632,"cidade",-51.28913,-0.11336,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Oiapoque",27270,"cidade",-51.833123,3.84074,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Pedra Branca do Amapari",16502,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Porto Grande",21971,"cidade",-51.415499,0.71243,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Pracuúba",5120,"cidade",-50.789248,1.745427,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Santana",121364,"cidade",-51.172924,-0.045434,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Serra do Navio",5397,"cidade",-52.003636,0.901357,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Tartarugalzinho",17315,"cidade",-50.90874,1.506519,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Vitória do Jari",15931,"cidade",-52.424001,-0.938,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Abaíra",8739,"cidade",-41.661869,-13.24883,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Abaré",20086,"cidade",-39.116178,-8.720734,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Acajutiba",15159,"cidade",-38.019737,-11.657522,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Adustina",17040,"cidade",-38.111265,-10.54369,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Água Fria",16970,"cidade",-38.763863,-11.861836,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Érico Cardoso",10610,"cidade",-42.1352,-13.421467,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Aiquara",4446,"cidade",-39.893653,-14.126918,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Alagoinhas",151596,"cidade",-38.420772,-12.133526,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Alcobaça",22470,"cidade",-39.203609,-17.519468,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Almadina",5464,"cidade",-39.641491,-14.708869,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Amargosa",37241,"cidade",-39.601966,-13.021462,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Amélia Rodrigues",25102,"cidade",-38.756289,-12.391429,NA,NA,NA,NA,NA,NA,NA,NA
"BA","América Dourada",16094,"cidade",-41.439007,-11.442938,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Anagé",22005,"cidade",-41.135569,-14.61512,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Andaraí",13143,"cidade",-41.329658,-12.804916,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Andorinha",14595,"cidade",-39.839142,-10.348214,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Angical",13977,"cidade",-44.700272,-12.006313,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Anguera",11221,"cidade",-39.246186,-12.146157,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Antas",19291,"cidade",-38.340118,-10.385621,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Antônio Cardoso",11683,"cidade",-39.117555,-12.433493,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Antônio Gonçalves",11798,"cidade",-40.278489,-10.576686,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Aporá",17731,"cidade",-38.081418,-11.657708,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Apuarema",7330,"cidade",-39.750148,-13.854241,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Aracatu",13135,"cidade",-41.464783,-14.427986,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Araçás",12177,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Araci",54379,"cidade",-38.958385,-11.325316,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Aramari",11397,"cidade",-38.496937,-12.088399,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Arataca",11019,"cidade",-39.419017,-15.265099,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Aratuípe",8825,"cidade",-39.003763,-13.071595,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Aurelino Leal",11531,"cidade",-39.329035,-14.320954,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Baianópolis",13877,"cidade",-44.538829,-12.301641,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Baixa Grande",20468,"cidade",-40.16897,-11.951884,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Banzaê",13229,"cidade",-38.621243,-10.578784,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barra",53578,"cidade",-43.145913,-11.0859,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barra da Estiva",20598,"cidade",-41.334697,-13.623699,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barra do Choça",31603,"cidade",-40.579058,-14.865423,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barra do Mendes",13865,"cidade",-42.058999,-11.81,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barra do Rocha",5714,"cidade",-39.599098,-14.199994,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barreiras",155439,"cidade",-44.996838,-12.143864,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barro Alto",14931,"cidade",-41.905441,-11.760493,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barrocas",15978,"cidade",-39.077594,-11.527222,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Barro Preto",5591,"cidade",-39.476029,-14.794773,NA,NA,NA,NA,NA,NA,NA,NA
"BA","Belmonte",23328,"cidade",-38.87578,-15.860789,NA,NA,NA,NA,NA,NA,NA,NA
